n,mu,sigma,best_beta
64,30,100,0.1918615513442338
64,30,150,0.14922565104551516
64,30,200,0.0959307756721169
64,50,10,0.7461282552275759
64,50,20,0.735469280152896
64,50,30,0.5649256789580217
64,50,50,0.41570002791250654
64,50,100,0.2344974516429524
64,50,150,0.15988462612019483
64,50,200,0.1918615513442338
64,100,10,0.7461282552275759
64,100,20,0.7461282552275759
64,100,30,0.7461282552275759
64,100,50,0.6715154297048184
64,100,100,0.44767695313654554
64,100,150,0.27713335194167105
64,100,200,0.45833592821122515
64,150,10,0.7461282552275759
64,150,20,0.7461282552275759
64,150,30,0.7461282552275759
64,150,50,0.7461282552275759
64,150,100,0.5542667038833421
64,150,150,0.4370179780618658
64,150,200,0.39438207776314715
64,200,10,0.7461282552275759
64,200,20,0.7461282552275759
64,200,30,0.7461282552275759
64,200,50,0.7461282552275759
64,200,100,0.6715154297048184
64,200,150,0.4370179780618659
64,200,200,0.4370179780618659
128,0,10,0.08527180059743725
128,0,20,0.1918615513442338
128,0,30,0.031976925224038964
128,0,50,0.10658975074679655
128,0,100,0.18120257626955413
128,0,150,0.15988462612019483
128,0,200,0.0959307756721169
128,10,10,0.31976925224038966
128,10,20,0.3197692522403896
128,10,30,0.14922565104551516
128,10,50,0.0959307756721169
128,10,100,0.031976925224038964
128,10,150,0.021317950149359312
128,10,200,0.042635900298718624
128,20,10,0.650197479555459
128,20,20,0.37306412761378793
128,20,30,0.2984513020910303
128,20,50,0.20252052641891344
128,20,100,0.20252052641891344
128,20,150,0.18120257626955413
128,20,200,0.12790770089615586
128,30,10,0.7461282552275759
128,30,20,0.6075615792567403
128,30,30,0.4050410528378269
128,30,50,0.23449745164295238
128,30,100,0.24515642671763205
128,30,150,0.2771333519416711
128,30,200,0.08527180059743725
128,50,10,0.7461282552275759
128,50,20,0.7354692801528963
128,50,30,0.5649256789580217
128,50,50,0.41570002791250654
128,50,100,0.20252052641891344
128,50,150,0.0959307756721169
128,50,200,0.18120257626955413
128,100,10,0.7461282552275759
128,100,20,0.7461282552275759
128,100,30,0.7461282552275759
128,100,50,0.6288795294060996
128,100,100,0.3943820777631472
128,100,150,0.27713335194167105
128,100,200,0.20252052641891344
128,150,10,0.7461282552275759
128,150,20,0.7461282552275759
128,150,30,0.7461282552275759
128,150,50,0.7461282552275759
128,150,100,0.5436077288086624
128,150,150,0.4689949032859048
128,150,200,0.341087202389749
128,200,10,0.7461282552275759
128,200,20,0.7461282552275759
128,200,30,0.7461282552275759
128,200,50,0.7461282552275759
128,200,100,0.650197479555459
128,200,150,0.45833592821122515
128,200,200,0.3837231026884676
256,0,10,0.10658975074679655
